Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Colombia,Colombia,2019,6,Ciencias,I,32.6
Colombia,Colombia,2019,6,Ciencias,II,46.4
Colombia,Colombia,2019,6,Ciencias,III,15.8
Colombia,Colombia,2019,6,Ciencias,IV,5.2
Colombia,Colombia,2019,6,Lectura,I,15.5
Colombia,Colombia,2019,6,Lectura,II,47
Colombia,Colombia,2019,6,Lectura,III,17.8
Colombia,Colombia,2019,6,Lectura,IV,19.7
Colombia,Colombia,2019,6,Matemáticas,I,42.5
Colombia,Colombia,2019,6,Matemáticas,II,40.9
Colombia,Colombia,2019,6,Matemáticas,III,13.3
Colombia,Colombia,2019,6,Matemáticas,IV,3.3
Costa Rica,Costa Rica,2013,3,Lectura,I,17.6
Costa Rica,Costa Rica,2013,3,Lectura,II,22
Costa Rica,Costa Rica,2013,3,Lectura,III,39.4
Costa Rica,Costa Rica,2013,3,Lectura,IV,21
Costa Rica,Costa Rica,2013,3,Matemáticas,I,23.1
Costa Rica,Costa Rica,2013,3,Matemáticas,II,31.3
Costa Rica,Costa Rica,2013,3,Matemáticas,III,36.5
Costa Rica,Costa Rica,2013,3,Matemáticas,IV,9.1
Costa Rica,Costa Rica,2013,6,Ciencias,I,18.8
Costa Rica,Costa Rica,2013,6,Ciencias,II,45.1
Costa Rica,Costa Rica,2013,6,Ciencias,III,24.9
Costa Rica,Costa Rica,2013,6,Ciencias,IV,11.2
Costa Rica,Costa Rica,2013,6,Lectura,I,4.5
Costa Rica,Costa Rica,2013,6,Lectura,II,45.9
Costa Rica,Costa Rica,2013,6,Lectura,III,26.8
Costa Rica,Costa Rica,2013,6,Lectura,IV,22.8
Costa Rica,Costa Rica,2013,6,Matemáticas,I,29.9
Costa Rica,Costa Rica,2013,6,Matemáticas,II,48.9
Costa Rica,Costa Rica,2013,6,Matemáticas,III,16.7
Costa Rica,Costa Rica,2013,6,Matemáticas,IV,4.5
Costa Rica,Costa Rica,2019,3,Lectura,I,25.3
Costa Rica,Costa Rica,2019,3,Lectura,II,17.6
Costa Rica,Costa Rica,2019,3,Lectura,III,29.8
Costa Rica,Costa Rica,2019,3,Lectura,IV,27.3
Costa Rica,Costa Rica,2019,3,Matemáticas,I,33.4
Costa Rica,Costa Rica,2019,3,Matemáticas,II,28.9
Costa Rica,Costa Rica,2019,3,Matemáticas,III,29.1
Costa Rica,Costa Rica,2019,3,Matemáticas,IV,8.7
Costa Rica,Costa Rica,2019,6,Ciencias,I,14.3
Costa Rica,Costa Rica,2019,6,Ciencias,II,46.8
Costa Rica,Costa Rica,2019,6,Ciencias,III,28.1
Costa Rica,Costa Rica,2019,6,Ciencias,IV,10.8
Costa Rica,Costa Rica,2019,6,Lectura,I,7.2
Costa Rica,Costa Rica,2019,6,Lectura,II,38.8
Costa Rica,Costa Rica,2019,6,Lectura,III,23.4
Costa Rica,Costa Rica,2019,6,Lectura,IV,30.6
Costa Rica,Costa Rica,2019,6,Matemáticas,I,31.6
Costa Rica,Costa Rica,2019,6,Matemáticas,II,47.5
Costa Rica,Costa Rica,2019,6,Matemáticas,III,17.4
Costa Rica,Costa Rica,2019,6,Matemáticas,IV,3.5
Cuba,Cuba,2013,3,Lectura,I,
Cuba,Cuba,2013,3,Lectura,II,
Cuba,Cuba,2013,3,Lectura,III,
Cuba,Cuba,2013,3,Lectura,IV,
Cuba,Cuba,2013,3,Matemáticas,I,
Cuba,Cuba,2013,3,Matemáticas,II,
Cuba,Cuba,2013,3,Matemáticas,III,
Cuba,Cuba,2013,3,Matemáticas,IV,
Cuba,Cuba,2013,6,Ciencias,I,
Cuba,Cuba,2013,6,Ciencias,II,
Cuba,Cuba,2013,6,Ciencias,III,
Cuba,Cuba,2013,6,Ciencias,IV,
Cuba,Cuba,2013,6,Lectura,I,
Cuba,Cuba,2013,6,Lectura,II,
Cuba,Cuba,2013,6,Lectura,III,
Cuba,Cuba,2013,6,Lectura,IV,
Cuba,Cuba,2013,6,Matemáticas,I,
Cuba,Cuba,2013,6,Matemáticas,II,
Cuba,Cuba,2013,6,Matemáticas,III,
Cuba,Cuba,2013,6,Matemáticas,IV,
